Tên bài hát,Ngh? s? trình bày,S? l??ng ngh? s? ?óng góp, N?m phát hành," S? l??ng danh sách phát 
Spotify mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Spotify","S? l??t nghe tr?c
 tuy?n trên Spotify"," S? l??ng danh sách phát
 Apple Music mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Apple Music",,,,
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,553,147,141381703,43,263,,,,
LALA,Myke Towers,1,2023,1474,48,133716286,48,126,,,,
vampire,Olivia Rodrigo,1,2023,1397,113,140003974,94,207,,,,
Cruel Summer,Taylor Swift,1,2019,7858,100,800840817,116,207,,,,
WHERE SHE GOES,Bad Bunny,1,2023,3133,50,303236322,84,133,,,,
Sprinter,"Dave, Central Cee",2,2023,2186,91,183706234,67,213,,,,
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3090,50,725980112,34,222,,,,
Columbia,Quevedo,1,2023,714,43,58149378,25,89,,,,
fukumean,Gunna,1,2023,1096,83,95217315,60,210,,,,
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,2953,44,553634067,49,110,,,,
un x100to,"Bad Bunny, Grupo Frontera",2,2023,2876,40,505671438,41,205,,,,
Super Shy,NewJeans,1,2023,422,55,58255150,37,202,,,,
Flowers,Miley Cyrus,1,2023,12211,115,1316855716,300,215,,,,
Daylight,David Kushner,1,2023,3528,98,387570742,80,156,,,,
As It Was,Harry Styles,1,2022,23575,130,2513188493,403,198,,,,
Kill Bill,SZA,1,2022,8109,77,1163093654,183,162,,,,
Cupid - Twin Ver.,Fifty Fifty,1,2023,2942,77,496795686,91,212,,,,
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,873,104,30546883,80,227,,,,
Classy 101,"Feid, Young Miko",2,2023,2610,40,335222234,43,100,,,,
Like Crazy,Jimin,1,2023,596,68,363369738,8,104,,,,
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,332,26,86444842,11,163,,,,
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,1313,40,200647221,17,152,,,,
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,1945,87,115364561,74,182,,,,
SABOR FRESA,Fuerza Regida,1,2023,250,26,78300654,16,149,,,,
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,7112,77,899183384,202,119,,,,
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,859,40,61245289,35,109,,,,
Last Night,Morgan Wallen,1,2023,2420,19,429829812,52,107,,,,
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,2988,101,127408954,0,0,,,,
Rush,Troye Sivan,1,2023,864,78,22581161,71,135,,,,
TULUM,"Peso Pluma, Grupo Frontera",2,2023,266,34,52294266,20,185,,,,
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,6036,88,843957510,113,149,,,,
Anti-Hero,Taylor Swift,1,2022,9082,56,999748277,242,142,,,,
TQG,"Karol G, Shakira",2,2023,4284,49,618990393,115,123,,,,
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,1150,31,123122413,22,33,,,,
TQM,Fuerza Regida,1,2023,584,28,176553476,16,159,,,,
El Azul,"Junior H, Peso Pluma",2,2023,692,25,354495408,10,107,,,,
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,12482,80,1109433169,291,184,,,,
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,13387,64,1047101291,77,58,,,,
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,1117,80,65156199,82,145,,,,
Angels Like You,Miley Cyrus,1,2020,3372,19,570515054,65,48,,,,
I Ain't Worried,OneRepublic,1,2022,8431,76,1085685420,241,127,,,,
Die For You,The Weeknd,1,2016,2483,59,1647990401,68,21,,,,
Starboy,"The Weeknd, Daft Punk",2,2016,29536,79,2565529693,281,137,,,,
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,3408,47,518745108,87,86,,,,
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,1298,38,107753850,44,64,,,,
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4277,66,177740666,145,111,,,,
AMARGURA,Karol G,1,2023,1133,39,153372011,14,71,,,,
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,2259,59,57876440,0,0,,,,
Another Love,Tom Odell,1,2012,18371,83,1813673666,250,122,,,,
Blinding Lights,The Weeknd,1,2019,43899,69,3703895074,672,199,,,,
Moonlight,Kali Uchis,1,2023,2649,42,256483385,67,79,,,,
La Bachata,Manuel Turizo,1,2022,6804,45,1214083358,139,111,,,,
S91,Karol G,1,2023,525,41,16011326,34,115,,,,
cardigan,Taylor Swift,1,2020,7923,29,812019557,106,112,,,,
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,731,15,111947664,27,17,,,,
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,5184,41,156338624,154,84,,,,
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,3107,39,720434240,38,0,,,,
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,4053,50,357925728,82,121,,,,
Hey Mor,"Ozuna, Feid",2,2022,4637,38,674072710,63,79,,,,
Yellow,Chris Molitor,1,1999,31358,43,1755214421,196,2,,,,
Karma,Taylor Swift,1,2022,3818,23,404562836,37,55,,,,
People,Libianca,1,2022,3506,56,373199958,105,64,,,,
Overdrive,Post Malone,1,2023,410,36,14780425,36,32,,,,
Enchanted (Taylor's Version),Taylor Swift,1,2023,148,24,39578178,32,93,,,,
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,1004,35,54266102,42,80,,,,
Heat Waves,Glass Animals,1,2020,22543,63,2557975762,386,144,,,,
golden hour,JVKE,1,2022,4511,36,751134527,70,58,,,,
Sweater Weather,The Neighbourhood,1,2012,16413,61,2282771485,166,87,,,,
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,8506,45,1356565093,94,65,,,,
Viva La Vida,Coldplay,1,2008,33898,62,1592909789,233,0,,,,
Here With Me,d4vd,1,2022,3246,23,635412045,94,85,,,,
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,8576,42,1230675890,216,108,,,,
Yandel 150,"Yandel, Feid",2,2022,3618,38,585695368,47,74,,,,
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,370,20,43857627,12,16,,,,
Riptide,Vance Joy,1,1975,31123,55,2009094673,300,65,,,,
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,2790,30,600976848,60,96,,,,
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,267,9,39709092,9,6,,,,
Back To December (Taylor's Version),Taylor Swift,1,2023,139,17,39228929,16,72,,,,
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,17050,36,2665343922,492,99,,,,
El Merengue,"Marshmello, Manuel Turizo",2,2023,2114,44,223633238,80,75,,,,
Someone You Loved,Lewis Capaldi,1,2018,17836,53,2887241814,440,125,,,,
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,8870,43,1440757818,104,120,,,,
Makeba,Jain,1,2015,6060,53,165484133,150,148,,,,
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,641,50,58054811,1,52,,,,
Fast Car,Luke Combs,1,2023,1446,12,157058870,57,97,,,,
What It Is (Solo Version),Doechii,1,2023,804,25,95131998,29,76,,,,
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,1962,38,250305248,28,89,,,,
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,4875,23,685032533,19,45,,,,
Still With You,Jung Kook,1,2020,31,39,38411956,2,107,,,,
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,2175,23,144565150,69,145,,,,
Say Yes To Heaven,Lana Del Rey,1,2023,2000,46,127567540,49,105,,,,
Snooze,SZA,1,2022,2839,25,399686758,58,156,,,,
Summertime Sadness,Lana Del Rey,1,2011,20333,52,983637508,89,143,,,,
Take Two,BTS,1,2023,674,47,118482347,20,106,,,,
Lover,Taylor Swift,1,2012,8448,23,882831184,160,110,,,,
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,2110,58,286400165,17,119,,,,
Chemical,Post Malone,1,2023,2528,39,172825906,56,91,,,,
Mockingbird,Eminem,1,2004,12985,61,1241559043,49,98,,,,
New Jeans,NewJeans,1,2023,77,35,29562220,8,166,,,,
Primera Cita,Carin Leon,1,2022,266,27,77309611,6,40,,,,
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,21097,52,1605224506,384,135,,,,
Dandelions,Ruth B.,1,2017,3423,21,1116995633,41,100,,,,
Bones,Imagine Dragons,1,2021,4198,44,838079900,98,108,,,,
